,00_type_model,0_auc,0_precision,0_recall,1_normalisation,1_SMOT,1_fold,2_solver,3_activation,3_hiddenlayer,3_alpha,4_beta1ADAM,4_beta2ADAM,4_epsilonADAM
0,MLP_Classifier,0.5452,0.0642,0.675,YES,YES,1,adam,logistic,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,logistic,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.4951,0.0738,0.5701,YES,YES,3,adam,logistic,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5105,0.0726,0.59,YES,YES,4,adam,logistic,10,0.1,0.5,0.999,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,logistic,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,logistic,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5078,0.077,0.5607,YES,YES,3,adam,logistic,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5153,0.0738,0.58,YES,YES,4,adam,logistic,10,0.1,0.9,0.555,1e-08
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,logistic,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,logistic,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5086,0.0772,0.5607,YES,YES,3,adam,logistic,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5105,0.0726,0.59,YES,YES,4,adam,logistic,10,0.1,0.9,0.555,1e-10
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,logistic,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,logistic,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5086,0.0772,0.5607,YES,YES,3,adam,logistic,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5153,0.0738,0.58,YES,YES,4,adam,logistic,10,0.1,0.9,0.555,1e-05
0,MLP_Classifier,0.5466,0.0645,0.675,YES,YES,1,adam,logistic,10,0.1,0.9,0.999,1e-08
0,MLP_Classifier,0.5017,0.0649,0.5761,YES,YES,2,adam,logistic,10,0.1,0.9,0.999,1e-08
